col.name,var.class,uniqueness,requiredness,allowedvalues,subject specific?,description
dataset_name,character,non-unique,required,*,n,Name of study
study_accession,character,non-unique,optional,*,n,Study accession on platform where obtained
PMID,character,non-unique,optional,*,n,"PMID, if available"
subject_accession,character,non-unique,required,*,y,Subject accession on platform where obtained
alternative_subject_accession,character,non-unique,optional,*,y,Alternative subject accession ID
sample_accession,character,unique,required,*,n,Sample accession on platform where obtained
alternative_sample_accession,character,unique,optional,*,n,Alternative sample accession ID
batch,character,non-unique,optional,*,n,Batch indicator variable
sample_accession_16S,character,unique,optional,*,n,16S sample ID (should match 16S read IDs)
sample_accession_WGS,character,unique,optional,*,n,WGS sample ID (should match WGS read IDs)
sample_type,character,non-unique,optional,biopsy|stool,n,
body_site,character,non-unique,optional,TI|ileum|cecum|colon|sigmoid|rectum|pouch|PPI|neo-ileum|stool,n,
body_site_additional,character,non-unique,optional,*,n,Additional body site information. Only available if further differentiation is available
disease,character,non-unique,optional,CD|UC|IC|FAP|control,y,
control,character,non-unique,optional,HC|nonIBD,y,Additional control classes
IBD_subtype,character,non-unique,optional,iCD|cCD|CD|UC|IC|FAP,y,IBD subtype
IBD_subtype_additional,character,non-unique,optional,*,y,Additional information in IBD subtype
L.cat,character,non-unique,optional,L1|L2|L3|L4|L1+L2|L1+L3|L1+L4|L2+L3|L2+L4|L3+L4,y,Disease extent variable for CD
E.cat,character,non-unique,optional,E1|E2|E3,y,Disease extent variable for UC
B.cat,character,non-unique,optional,B1|B2|B3,y,Montreal categorization of CD
perianal,character,non-unique,optional,y|n,y,Perinanal disease?
age,numeric,non-unique,optional,*,n,Age (in yrs)
age_at_diagnosis,numeric,non-unique,optional,*,y,Age at diagnosis (in yrs)
race,character,non-unique,optional,white|african_american|asian_pacific_islander|native_american|more_than_one|other,y,
gender,character,non-unique,optional,m|f,y,
BMI,numeric,non-unique,optional,*,y,
alcohol,character,non-unique,optional,y|n,n,
smoke,character,non-unique,optional,former|current|never,n,
site,character,non-unique,optional,*,n,Geographical location
calprotectin,numeric,non-unique,optional,*,n,Fecal calprotectin
PCDAI,numeric,non-unique,optional,*,n,Pediatric Crohn?s Disease Activity Index (<= 19yrs old)
antibiotics,character,non-unique,optional,y|n,n,
antibiotics_supp,character,non-unique,optional,*,n,Additional antibiotics information
immunosuppressants,character,non-unique,optional,y|n,n,
immunosuppressants_supp,character,non-unique,optional,*,n,Additional immunosuppressant information
steroids,character,non-unique,optional,y|n,n,
steroids_supp,character,non-unique,optional,*,n,Additional steroids information
mesalamine_5ASA,character,non-unique,optional,y|n,n,
mesalamine_5ASA_supp,character,non-unique,optional,*,n,Additional 5ASA information
biologics,character,non-unique,optional,y|n,n,
biologics_supp,character,non-unique,optional,*,n,Additional biologics information
time_point,character,non-unique,optional,*,n,"Time point ID, if longitudinal study"
time_point_supp,character,non-unique,optional,*,n,"Additional information on time points (importantly, unit)"
family,character,non-unique,optional,*,n,"Family ID, if family study"
family_supp,character,non-unique,optional,*,n,"Additional information on family (importantly, relationships)"
extraction_kit_16S,character,non-unique,optional,Gnome|Illuminakit|MoBio|NorgenBiotek|Qiagen,n,
sequencing_platform_16S,character,non-unique,optional,*,n,
number_reads_16S,integer,non-unique,optional,*,n,
number_bases_16S,integer,non-unique,optional,*,n,
minimum_read_length_16S,integer,non-unique,optional,*,n,
median_read_length_16S,integer,non-unique,optional,*,n,
