study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB18471	SAMEA19334668	ERS1463894	ERX1815536	ERR1746339	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/009/ERR1746339/ERR1746339.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/009/ERR1746339/ERR1746339.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR174/009/ERR1746339	ftp.sra.ebi.ac.uk/vol1/err/ERR174/009/ERR1746339		
PRJEB18471	SAMEA19335418	ERS1463895	ERX1815537	ERR1746340	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/000/ERR1746340/ERR1746340.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/000/ERR1746340/ERR1746340.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD002.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD002.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR174/000/ERR1746340	ftp.sra.ebi.ac.uk/vol1/err/ERR174/000/ERR1746340		
PRJEB18471	SAMEA19336168	ERS1463896	ERX1815538	ERR1746341	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/001/ERR1746341/ERR1746341.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/001/ERR1746341/ERR1746341.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD003.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD003.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR174/001/ERR1746341	ftp.sra.ebi.ac.uk/vol1/err/ERR174/001/ERR1746341		
PRJEB18471	SAMEA19336918	ERS1463897	ERX1815539	ERR1746342	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/002/ERR1746342/ERR1746342.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/002/ERR1746342/ERR1746342.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR174/002/ERR1746342	ftp.sra.ebi.ac.uk/vol1/err/ERR174/002/ERR1746342		
PRJEB18471	SAMEA19337668	ERS1463898	ERX1815540	ERR1746343	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/003/ERR1746343/ERR1746343.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/003/ERR1746343/ERR1746343.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD005.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD005.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR174/003/ERR1746343	ftp.sra.ebi.ac.uk/vol1/err/ERR174/003/ERR1746343		
PRJEB18471	SAMEA19338418	ERS1463899	ERX1815541	ERR1746344	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/004/ERR1746344/ERR1746344.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/004/ERR1746344/ERR1746344.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD006.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD006.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR174/004/ERR1746344	ftp.sra.ebi.ac.uk/vol1/err/ERR174/004/ERR1746344		
PRJEB18471	SAMEA19339168	ERS1463900	ERX1815542	ERR1746345	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/005/ERR1746345/ERR1746345.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/005/ERR1746345/ERR1746345.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD007.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD007.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR174/005/ERR1746345	ftp.sra.ebi.ac.uk/vol1/err/ERR174/005/ERR1746345		
PRJEB18471	SAMEA19339918	ERS1463901	ERX1815543	ERR1746346	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/006/ERR1746346/ERR1746346.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/006/ERR1746346/ERR1746346.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD008.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD008.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR174/006/ERR1746346	ftp.sra.ebi.ac.uk/vol1/err/ERR174/006/ERR1746346		
PRJEB18471	SAMEA19340668	ERS1463902	ERX1815544	ERR1746347	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/007/ERR1746347/ERR1746347.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/007/ERR1746347/ERR1746347.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD009.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD009.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR174/007/ERR1746347	ftp.sra.ebi.ac.uk/vol1/err/ERR174/007/ERR1746347		
PRJEB18471	SAMEA19341418	ERS1463903	ERX1815545	ERR1746348	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/008/ERR1746348/ERR1746348.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/008/ERR1746348/ERR1746348.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD010.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA771/ERA771269/fastq/1629.SubjectIBD010.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR174/008/ERR1746348	ftp.sra.ebi.ac.uk/vol1/err/ERR174/008/ERR1746348		
